"","BOROUGH","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","SALE.PRICE"
"1",1,"1633","6440",1900,5,0,5,"6625000"
"4",1,"2272","6794",1913,10,0,10,"3936272"
"5",1,"2369","4615",1900,6,0,6,"8000000"
"175",1,"1779","3713",1910,5,1,6,"4750000"
"196",1,"1218","3586",1899,0,1,1,"3700000"
"207",1,"1975","3855",1901,1,0,1,"7425000"
"215",1,"2469","3725",1901,3,0,3,"8300000"
"224",1,"1566","6330",1901,9,0,9,"416790"
"225",1,"1566","6330",1901,9,0,9,"630370"
"231",1,"2581","7650",1920,8,1,9,"6450000"
"233",1,"1952","5955",1920,8,1,9,"5750000"
"235",1,"2469","19892",2014,6,1,7,"4600000"
"930",1,"6468","14056",1953,1,1,1,"42400000"
"939",1,"1675","3909",1910,0,1,1,"8818181"
"948",1,"1852","3980",1920,0,3,3,"9174156"
"950",1,"4937","45449",1921,0,19,19,"33000000"
"952",1,"2271","5260",1900,0,1,1,"4300000"
"953",1,"17281","170750",1900,0,10,10,"92007576"
"961",1,"12343","21183",1920,0,1,1,"50350000"
"963",1,"2496","5802",1920,35,0,35,"7995000"
"1079",1,"892","1784",1920,1,3,4,"3000000"
"1125",1,"3828","24423",1920,18,1,19,"21250000"
"1423",1,"4764","20700",1920,0,5,5,"3150000"
"1795",1,"1275","2640",1899,2,0,2,"4000000"
"1797",1,"4163","9187",1920,20,0,20,"5292000"
"1804",1,"2144","7495",1920,21,0,21,"5381394"
"1805",1,"2425","7000",1900,24,0,24,"6354000"
"1806",1,"2425","7000",1900,24,0,24,"6354000"
"1956",1,"3334","14131",1920,2,2,4,"9100000"
"1957",1,"2277","5794",1900,2,1,3,"4550000"
"2052",1,"5925","64300",1911,0,17,17,"54000000"
"2060",1,"7266","81375",1907,0,12,12,"5000000"
"2063",1,"6994","79465",1913,0,15,15,"220000"
"2070",1,"4938","80185",1913,0,9,9,"51000000"
"2091",1,"17623","400531",1929,476,6,482,"239114603"
"2558",1,"42762","993569",1983,0,1,1,"652000000"
"2567",1,"6497","119467",1902,0,2,2,"93550000"
"2568",1,"5646","74863",1900,0,3,3,"51100000"
"2999",1,"1392","5118",1910,4,1,5,"6625000"
"3031",1,"2711","9798",1913,0,1,1,"29500000"
"3036",1,"987","3780",1915,0,4,4,"4650000"
"3063",1,"1619","2520",1910,2,0,2,"7000000"
"3069",1,"2888","7800",1900,6,0,6,"23094093"
"3072",1,"2116","6932",1920,4,1,5,"8700000"
"3508",1,"3216","37025",1914,0,6,6,"52400621"
"3538",1,"2138","7000",1900,1,0,1,"20650000"
"3539",1,"1976","6202",1900,1,0,1,"21000000"
"3541",1,"1996","3200",1901,1,0,1,"9500000"
"3549",1,"3731","15925",1880,42,0,42,"22112000"
"3559",1,"2452","8628",1900,19,0,19,"8500000"
"3561",1,"4171","27184",1912,36,0,36,"37750000"
"4154",1,"1852","5003",1901,0,2,2,"9300000"
"4162",1,"7742","54328",1900,0,1,1,"32250000"
"4175",1,"925","2337",1910,1,1,2,"4065000"
"4180",1,"757","1854",1900,1,1,2,"5550000"
"4182",1,"1368","4200",1920,2,1,3,"9750000"
"4186",1,"943","2684",1899,2,0,2,"3950000"
"4190",1,"1672","3700",1899,2,0,2,"7400000"
"4195",1,"2996","5750",1910,3,0,3,"27400000"
"4200",1,"2171","3524",1900,5,0,5,"313000"
"4201",1,"2395","2395",1915,4,0,4,"6500000"
"4209",1,"1825","7145",1900,11,0,11,"6260000"
"4213",1,"4825","20073",1905,33,4,37,"21000000"
"4217",1,"5518","22686",1910,36,0,36,"20000000"
"4230",1,"3862","17826",1940,21,6,27,"24991000"
"4801",1,"1549","3036",1910,1,0,1,"2300000"
"4805",1,"1699","3620",1910,1,0,1,"3050000"
"4807",1,"1488","3951",1899,1,0,1,"2200000"
"4808",1,"1431","3591",1899,1,0,1,"2100000"
"4816",1,"2498","3000",1909,2,0,2,"3750000"
"4817",1,"1686","3416",1900,2,0,2,"2450000"
"4819",1,"1615","3328",1998,2,0,2,"2800000"
"4820",1,"1817","5004",1900,2,0,2,"3500000"
"4822",1,"2377","4002",1910,2,1,3,"3650000"
"4826",1,"1665","3460",1914,2,0,2,"2175000"
"4828",1,"1749","2625",1910,2,0,2,"850000"
"4829",1,"1599","3200",1899,2,0,2,"2000000"
"4830",1,"1615","3840",1899,2,0,2,"500000"
"4833",1,"1598","2340",1899,2,0,2,"2460000"
"4835",1,"1699","4000",1910,2,0,2,"2950000"
"4838",1,"756","4320",1901,2,0,2,"3450000"
"4839",1,"1343","3400",1899,2,0,2,"2000000"
"4844",1,"1998","3054",1910,3,0,3,"2685000"
"4850",1,"1873","3046",1909,3,0,3,"2505000"
"4852",1,"1817","3600",1910,3,0,3,"3250000"
"4856",1,"1699","2646",1910,3,0,3,"2390000"
"4857",1,"1699","2596",1910,3,0,3,"60000"
"4858",1,"2495","3335",2000,3,0,3,"2200000"
"4859",1,"1665","3332",1910,3,0,3,"2675000"
"4880",1,"1799","4603",1909,5,0,5,"842500"
"4883",1,"1271","5167",1910,4,0,4,"2125000"
"4887",1,"2629","8500",1900,16,0,16,"4400000"
"4891",1,"1444","4408",1930,4,0,4,"2675000"
"4893",1,"1848","2585",1900,4,0,4,"3250000"
"4894",1,"2498","7230",1900,4,0,4,"2450000"
"4895",1,"1231","4140",1910,4,0,4,"2165000"
"4896",1,"3797","15006",1926,24,0,24,"4433033"
"4897",1,"2523","8525",1900,10,0,10,"3000000"
"4902",1,"1413","3750",1900,9,0,9,"2000000"
"4904",1,"1716","2550",1910,4,0,4,"2298307"
"4913",1,"1682","4070",1910,4,0,4,"2820000"
"4914",1,"1499","2286",1910,11,0,11,"3003837"
"4915",1,"1557","2343",1910,2,0,2,"2525000"
"4916",1,"2498","4800",1910,4,0,4,"3760000"
"4919",1,"1749","2625",1910,11,0,11,"20000"
"4921",1,"1665","3334",1910,5,0,5,"2000000"
"4928",1,"1499","2250",1910,11,0,11,"725000"
"4929",1,"1682","2561",1910,7,0,7,"530000"
"4933",1,"1499","2025",1910,11,0,11,"3350000"
"4939",1,"1665","4290",1910,4,0,4,"2100000"
"4942",1,"1699","2550",1910,11,0,11,"200000"
"4943",1,"1699","2550",1910,11,0,11,"62500"
"4944",1,"1799","3213",1910,7,0,7,"2060000"
"4945",1,"1549","3796",1983,4,0,4,"3205500"
"4949",1,"2765","11105",1932,10,0,10,"4325000"
"4964",1,"2498","9500",1920,19,0,19,"23000000"
"4968",1,"3983","14018",1920,18,2,20,"7400000"
"4978",1,"3997","15444",1910,25,0,25,"6700000"
"4989",1,"1599","3950",1910,4,1,5,"2081235"
"5004",1,"66825","185318",1959,256,0,256,"5020000"
"5008",1,"64675","185318",1959,257,0,257,"5020000"
"5009",1,"9992","45945",1926,38,6,44,"23000000"
"5010",1,"65212","336334",1926,311,4,315,"67500000"
"5493",1,"2546","5468",1900,2,2,4,"3880000"
"5564",1,"5995","35970",1900,0,8,8,"27000000"
"5567",1,"2125","10625",1910,0,3,3,"6800000"
"5569",1,"1394","3320",1900,2,2,4,"2080000"
"5572",1,"9992","9992",1930,0,5,5,"8000000"
"5578",1,"13875","322",1972,0,1,1,"6750000"
"5599",1,"6156","11121",1915,0,1,1,"6814720"
"5600",1,"6156","11121",1915,0,1,1,"6414359"
"5604",1,"5973","24626",1900,0,0,0,"330000"
"5605",1,"2288","3763",1910,0,1,1,"2430000"
"5606",1,"2523","4529",1910,0,1,1,"816666"
"5648",1,"1162","2464",1890,1,0,1,"2250000"
"5651",1,"1682","3000",1899,2,0,2,"424797"
"5656",1,"2212","2898",1996,3,0,3,"2500000"
"5662",1,"1968","3420",1899,3,0,3,"2100000"
"5664",1,"2523","8620",1920,10,1,11,"373"
"5683",1,"2523","8975",1910,10,0,10,"6250000"
"5684",1,"3784","14986",1930,30,2,32,"7750000"
"5687",1,"4491","17615",1910,24,0,24,"7300000"
"5688",1,"3986","15588",1910,30,0,30,"7525000"
"5689",1,"3936","15660",1910,30,0,30,"8800000"
"5691",1,"2523","6704",1910,8,0,8,"6800000"
"5695",1,"2523","9600",1930,10,0,10,"2150000"
"5697",1,"2851","7328",1910,8,0,8,"2245945"
"5698",1,"1716","4140",1910,5,0,5,"2550000"
"5701",1,"1422","4809",1920,9,1,10,"2470000"
"5702",1,"2523","9865",1910,18,2,20,"5925000"
"5703",1,"2523","9865",1910,18,2,20,"5375000"
"5712",1,"4538","22434",1910,34,3,37,"9000000"
"5716",1,"2523","6092",1910,10,0,10,"4373570"
"5717",1,"2523","6592",1900,16,0,16,"3425000"
"5718",1,"2523","7142",1900,16,0,16,"3450000"
"5719",1,"2523","6712",1900,16,0,16,"3300000"
"5721",1,"1817","3483",1890,4,0,4,"2300000"
"5724",1,"3936","16523",1910,28,3,31,"9250000"
"5725",1,"3936","17123",1910,28,2,30,"8725000"
"5731",1,"2769","14550",1910,11,1,12,"9839200"
"5732",1,"3742","15246",1900,18,0,18,"5925000"
"5737",1,"2523","9975",1920,19,0,19,"5175000"
"5738",1,"2523","10684",1900,16,2,18,"4500000"
"5739",1,"3785","15330",1920,28,1,29,"8825000"
"5759",1,"2523","8125",1910,10,0,10,"3300000"
"5767",1,"3313","12770",1910,20,0,20,"5850000"
"5768",1,"4256","17178",1915,25,2,27,"6850000"
"5769",1,"2523","6040",1910,8,0,8,"2250000"
"5770",1,"2523","6040",1910,10,0,10,"2450000"
"5772",1,"2523","6040",1900,9,0,9,"2225000"
"5777",1,"5752","25006",1910,30,0,30,"3376775"
"5792",1,"21193","96446",2000,76,5,81,"22600000"
"5796",1,"3759","14546",1900,29,1,30,"7300000"
"5798",1,"13481","55725",1910,72,0,72,"25000000"
"5915",1,"1892","3649",1910,3,2,5,"6726800"
"5918",1,"1865","5660",1920,6,2,8,"2600000"
"5964",1,"2288","4500",1900,0,2,2,"2550000"
"5965",1,"2523","7275",1900,0,1,1,"3700000"
"5985",1,"17163","12368",1968,0,2,2,"6925000"
"5990",1,"1799","5810",1899,1,0,1,"4650000"
"5991",1,"1898","3876",1901,1,0,1,"950000"
"5993",1,"1998","4730",1901,1,0,1,"72500"
"5998",1,"1799","4369",1901,2,0,2,"3175000"
"5999",1,"1632","4464",1899,2,0,2,"3000000"
"6000",1,"2447","3708",1901,2,0,2,"3125000"
"6003",1,"1582","3108",1899,2,0,2,"2036500"
"6004",1,"1582","2688",1899,2,0,2,"2600000"
"6005",1,"1674","3480",1910,2,0,2,"2450000"
"6009",1,"1249","2640",1901,2,0,2,"2420000"
"6011",1,"1672","5272",1920,3,0,3,"2650000"
"6015",1,"1599","4755",1910,3,0,3,"2075000"
"6017",1,"1499","2868",1910,3,0,3,"2475000"
"6018",1,"1665","3334",1910,3,0,3,"2400000"
"6021",1,"1799","4590",1920,4,0,4,"2350000"
"6028",1,"1649","2670",1920,6,0,6,"2395000"
"6031",1,"1998","4784",1899,5,0,5,"2000000"
"6032",1,"1898","4112",1899,4,0,4,"2100000"
"6034",1,"1352","2520",1926,4,0,4,"4063"
"6041",1,"1599","2637",1926,4,0,4,"2250000"
"6047",1,"8743","45000",1910,30,0,30,"6539584"
"6048",1,"12488","51570",1924,68,0,68,"25000000"
"6123",1,"4996","19200",1926,0,2,2,"2600000"
"6129",1,"1599","3516",1926,2,1,2,"2890000"
"6130",1,"1499","2845",1899,1,0,1,"2260000"
"6134",1,"4996","17265",1910,21,0,21,"6800000"
"6135",1,"4996","17540",1910,21,0,21,"6800000"
"6167",1,"11643","11579",1900,0,1,1,"3450000"
"6168",1,"1219","1224",1920,1,0,1,"635000"
"6169",1,"1219","1224",1920,1,0,1,"307242"
"6175",1,"3475","14320",1915,18,2,20,"3470000"
"6176",1,"3539","12600",1924,9,1,10,"2085000"
"6287",1,"2469","4747",1910,2,1,3,"6100000"
"6288",1,"2468","8214",1900,24,0,24,"7950000"
"6291",1,"2469","7720",1900,9,1,10,"4840000"
"6314",1,"2468","6957",1910,0,2,2,"5000000"
"6317",1,"1975","7920",1968,0,1,1,"9180000"
"6318",1,"39779","350000",1962,0,2,2,"330000000"
"6319",1,"28637","265562",1910,0,6,6,"5300000"
"6329",1,"1794","3800",1910,2,0,2,"3900000"
"6331",1,"2167","5720",1910,10,0,10,"6650000"
"6332",1,"2469","10625",1940,18,0,18,"7200000"
"6333",1,"141836","829024",1975,894,8,902,"620000000"
"6334",1,"6164","47820",1986,67,3,70,"52000000"
"6689",1,"13248","146246",1969,184,1,185,"46500000"
"6700",1,"2575","9170",1900,18,2,20,"9500000"
"6733",1,"2529","6875",1900,2,2,4,"23500000"
"6740",1,"2612","10230",1900,19,2,21,"5060000"
"6741",1,"2115","11321",1901,20,4,24,"9200000"
"6746",1,"2125","9990",1900,10,0,10,"9600000"
"6753",1,"2188","8421",1900,8,2,10,"5500000"
"6758",1,"4428","23030",2013,20,2,22,"21200000"
"6993",1,"2533","11141",1920,4,1,5,"9800000"
"7006",1,"1625","4544",1900,2,2,4,"6988000"
"7007",1,"1765","1750",1965,0,1,1,"3800000"
"7008",1,"2975","5338",1900,0,10,10,"6000000"
"7009",1,"3372","5930",1920,0,1,1,"9000000"
"7013",1,"2565","5696",1910,3,1,4,"8700000"
"7018",1,"2214","39064",2009,0,1,1,"30750000"
"7024",1,"7384","24800",2000,0,1,1,"31500000"
"7041",1,"1682","3333",1900,3,0,3,"3075000"
"7047",1,"1875","7540",1900,10,2,12,"4554000"
"7048",1,"2517","12215",1917,14,1,15,"7595000"
"7057",1,"3364","12310",1910,15,0,15,"8600000"
"7060",1,"1682","3332",1900,12,0,12,"2200000"
"7061",1,"2624","8915",1900,20,0,20,"7150000"
"7064",1,"2542","11795",1900,13,1,14,"622843"
"7446",1,"2761","13349",1915,0,1,1,"30000000"
"7448",1,"81336","1586886",1966,0,35,35,"2210000000"
"7475",1,"1665","3060",1899,1,0,1,"5000000"
"7486",1,"1674","3200",1899,3,0,3,"4500000"
"7496",1,"1856","7370",1930,16,2,18,"2950000"
"7838",1,"7531","60043",1959,102,0,102,"318000"
"8703",1,"1895","3350",1900,1,2,3,"5500000"
"8913",1,"6387","34810",2014,33,2,35,"34000000"
"9595",1,"8848","52150",1918,0,2,2,"268124175"
"9597",1,"1968","4043",1920,1,2,3,"8171775"
"9598",1,"7532","52851",1914,0,14,14,"68000000"
"9610",1,"7532","112850",2007,0,2,2,"20000"
"9613",1,"7532","112850",2007,0,2,2,"20682"
"9616",1,"7532","112850",2007,0,2,2,"33900"
"9617",1,"7532","112850",2007,0,2,2,"33900"
"9618",1,"7532","112850",2007,0,2,2,"49900"
"9619",1,"7532","112850",2007,0,2,2,"33900"
"9620",1,"7532","112850",2007,0,2,2,"49900"
"9621",1,"7532","112850",2007,0,2,2,"33900"
"9622",1,"7532","112850",2007,0,2,2,"33900"
"9623",1,"7532","112850",2007,0,2,2,"49302"
"9624",1,"7532","112850",2007,0,2,2,"33900"
"9625",1,"7532","112850",2007,0,2,2,"49900"
"9626",1,"7532","112850",2007,0,2,2,"33900"
"9627",1,"7532","112850",2007,0,2,2,"33900"
"9628",1,"7532","112850",2007,0,2,2,"33900"
"9630",1,"7532","112850",2007,0,2,2,"49900"
"9631",1,"7532","112850",2007,0,2,2,"88920"
"9632",1,"7532","112850",2007,0,2,2,"53910"
"9633",1,"7532","112850",2007,0,2,2,"53910"
"9634",1,"7532","112850",2007,0,2,2,"53910"
"9635",1,"7532","112850",2007,0,2,2,"83644"
"9638",1,"7532","112850",2007,0,2,2,"53910"
"9639",1,"7532","112850",2007,0,2,2,"215640"
"9641",1,"7532","112850",2007,0,2,2,"33900"
"9642",1,"7532","112850",2007,0,2,2,"49900"
"9643",1,"7532","112850",2007,0,2,2,"49900"
"9644",1,"7532","112850",2007,0,2,2,"33900"
"9645",1,"7532","112850",2007,0,2,2,"33900"
"9646",1,"7532","112850",2007,0,2,2,"49900"
"9647",1,"7532","112850",2007,0,2,2,"33900"
"9648",1,"7532","112850",2007,0,2,2,"49900"
"9649",1,"7532","112850",2007,0,2,2,"33900"
"9651",1,"7532","112850",2007,0,2,2,"99800"
"9652",1,"7532","112850",2007,0,2,2,"74700"
"9653",1,"7532","112850",2007,0,2,2,"49900"
"9654",1,"7532","112850",2007,0,2,2,"49900"
"9655",1,"7532","112850",2007,0,2,2,"49900"
"9656",1,"7532","112850",2007,0,2,2,"33900"
"9657",1,"7532","112850",2007,0,2,2,"88920"
"9658",1,"7532","112850",2007,0,2,2,"33900"
"9659",1,"7532","112850",2007,0,2,2,"49900"
"9660",1,"7532","112850",2007,0,2,2,"53910"
"9661",1,"7532","112850",2007,0,2,2,"88920"
"9662",1,"7532","112850",2007,0,2,2,"53910"
"9663",1,"7532","112850",2007,0,2,2,"38160"
"9664",1,"7532","112850",2007,0,2,2,"38160"
"9665",1,"7532","112850",2007,0,2,2,"40370"
"9666",1,"7532","112850",2007,0,2,2,"81259"
"9667",1,"7532","112850",2007,0,2,2,"95080"
"9671",1,"7532","112850",2007,0,2,2,"8909"
"9673",1,"7532","112850",2007,0,2,2,"5997"
"9676",1,"7532","112850",2007,0,2,2,"20600"
"9689",1,"7225","34462",1924,0,1,1,"5000000"
"9883",1,"495","1920",1910,1,0,1,"3850000"
"9884",1,"491","1824",1910,1,0,1,"2650000"
"9887",1,"1728","5719",1925,8,1,9,"4584000"
"9889",1,"1975","6895",1910,10,0,10,"4800000"
"9891",1,"1492","4304",1910,7,0,7,"4225000"
"9892",1,"1425","5844",1910,9,1,10,"7037500"
"9893",1,"2469","6357",1920,11,0,11,"6052000"
"9894",1,"1646","4018",1910,8,1,9,"5600000"
"9898",1,"2469","7080",1920,12,0,12,"7463000"
"10126",1,"12343","91745",1955,121,0,121,"650000"
"10442",1,"625","2500",1910,3,1,4,"2350000"
"10460",1,"2469","14094",1910,0,9,9,"20000000"
"10461",1,"4938","21885",1903,0,5,5,"36153620"
"10465",1,"1975","4460",1910,6,1,1,"5700000"
"10466",1,"2469","11905",1920,0,4,4,"8250000"
"10467",1,"2173","7150",1925,3,1,4,"6050000"
"10468",1,"4975","71043",1926,0,1,1,"37000000"
"10521",1,"23774","38428",2014,52,0,52,"23296741"
"10576",1,"1755","2239",1899,2,0,2,"8000000"
"10579",1,"1235","3300",1899,2,0,2,"2056500"
"10695",1,"6185","15655",1880,10,2,12,"8146000"
"10810",1,"1937","5240",1920,5,1,6,"9850000"
"11650",1,"13867","79642",1900,9,17,26,"90000000"
"11688",1,"2299","6230",1899,1,0,1,"41000000"
"11690",1,"1839","6282",1901,1,0,1,"200000"
"11696",1,"1983","5994",1901,1,1,2,"9350000"
"11703",1,"1839","5436",1899,1,0,1,"4250000"
"11707",1,"1674","3585",1899,1,0,1,"6000000"
"11709",1,"1413","2600",1899,1,0,1,"4000000"
"11711",1,"1255","3012",1899,2,0,2,"6000000"
"11719",1,"1817","3456",1899,2,0,2,"8000000"
"11727",1,"2554","9150",1910,15,0,15,"8500000"
"11728",1,"1277","5135",1920,8,2,10,"9890400"
"11732",1,"2554","8800",1915,13,2,15,"8500000"
"11739",1,"2377","8370",1910,8,1,9,"9800000"
"11742",1,"2694","8910",1910,10,0,10,"5400000"
"11743",1,"2554","8395",1910,20,0,20,"6724153"
"11791",1,"2554","7016",1910,13,2,15,"6600000"
"13369",1,"4117","18860",1932,0,1,1,"79500000"
"13371",1,"5723","58298",1930,0,32,32,"730000"
"13381",1,"1443","5472",1910,4,2,6,"52500"
"13385",1,"2642","11235",1926,0,4,4,"25000000"
"13424",1,"2248","9300",1901,1,0,1,"9148120"
"13426",1,"1839","5365",1910,1,0,1,"8950000"
"13430",1,"1963","4501",1899,1,0,1,"8900000"
"13431",1,"1167","3536",1901,1,1,2,"5925000"
"13434",1,"1572","3420",1899,1,0,1,"7000000"
"13435",1,"1572","3420",1899,1,0,1,"7000000"
"13438",1,"1888","3564",1899,1,0,1,"5750000"
"13439",1,"1711","3536",1910,1,0,1,"7450000"
"13442",1,"998","3507",1890,1,0,1,"6500000"
"13443",1,"692","1824",1899,1,0,1,"4495000"
"13450",1,"2554","5072",1910,2,0,2,"21000000"
"13451",1,"1678","3072",1899,2,0,2,"6787500"
"13454",1,"1812","3888",1899,3,0,3,"6895000"
"13457",1,"1611","4040",1920,4,0,4,"6500000"
"13463",1,"5221","20831",1910,50,4,54,"20000000"
"13464",1,"1695","2136",1910,5,0,5,"4450000"
"13465",1,"2596","6716",1920,15,0,15,"6000000"
"13468",1,"2218","8468",1988,11,1,12,"9100000"
"13469",1,"1875","8050",1920,9,1,10,"8000000"
"13470",1,"2517","8150",1910,20,0,20,"5400000"
"13471",1,"2554","11748",1910,24,2,26,"8551835"
"13472",1,"2554","8835",1920,10,0,10,"6600000"
"13474",1,"2248","5846",1920,10,0,10,"4850000"
"13482",1,"5116","21640",1910,40,2,42,"22795500"
"13487",1,"2738","8965",1928,20,0,20,"6800000"
"13488",1,"2554","8120",1910,20,0,20,"6500000"
"13490",1,"2554","8145",1925,17,0,17,"5828968"
"13492",1,"2554","8375",1910,9,0,9,"8140000"
"13503",1,"2554","9630",1920,15,0,15,"7314907"
"14186",1,"2554","10560",1910,14,0,14,"550000"
"14934",1,"1788","4704",1915,2,2,4,"42000000"
"14977",1,"6266","53525",1930,91,2,93,"35000000"
"14978",1,"2573","4284",1910,0,1,1,"9975000"
"15018",1,"2523","8630",1920,11,0,11,"9734400"
"15019",1,"3658","14784",1925,24,0,24,"6827200"
"15072",1,"1179","3807",1901,2,0,2,"5400000"
"15074",1,"1575","6875",1920,2,0,2,"6750000"
"15089",1,"1635","3636",1910,7,0,7,"5500000"
"15096",1,"2247","4336",1900,9,0,9,"3000000"
"15179",1,"16677","231733",1930,109,2,111,"72805"
"16507",1,"1435","3050",1900,1,0,1,"3500000"
"16508",1,"1547","4092",1900,1,0,1,"9400000"
"16516",1,"1913","6069",1901,2,0,2,"8000000"
"16517",1,"1812","4024",1899,2,0,2,"5125000"
"16522",1,"1812","3148",1900,3,0,3,"2482893"
"16523",1,"1737","3400",1910,3,0,3,"5510000"
"16532",1,"1913","6270",1900,10,0,10,"6990000"
"16537",1,"1678","4124",1900,4,0,4,"5100000"
"16539",1,"2125","8125",1900,8,1,9,"5275000"
"16540",1,"2346","7330",1900,10,0,10,"7600000"
"16542",1,"1755","5160",1910,8,1,9,"4240000"
"16543",1,"1812","4100",1900,8,0,8,"3045000"
"16558",1,"3831","15735",1920,20,0,20,"9001000"
"16762",1,"8963","61605",1913,48,0,48,"7928"
"17501",1,"7663","51520",1927,0,1,1,"42000000"
"17505",1,"1913","4532",1910,0,1,1,"4250000"
"17512",1,"1817","5220",1900,3,0,3,"5000000"
"17514",1,"2523","8760",1900,15,0,15,"6350000"
"17519",1,"2489","9440",1900,15,0,15,"5243000"
"17524",1,"1716","5810",1900,10,0,10,"4550000"
"17533",1,"5551","36252",1922,36,0,36,"23500000"
"17873",1,"2375","3225",1925,2,0,2,"2200000"
"17876",1,"1799","3300",1910,3,0,3,"2350000"
"17881",1,"4996","19740",1900,46,0,46,"9000000"
"17884",1,"2498","9685",1913,10,0,10,"5500000"
"17885",1,"2498","9685",1913,20,0,20,"4000000"
"17886",1,"2498","9685",1913,10,0,10,"3900000"
"17887",1,"2498","9685",1913,10,0,10,"4100000"
"17895",1,"7315","26005",1914,31,0,31,"9850000"
"17898",1,"13974","51550",1920,40,2,42,"21150000"
"17905",1,"15464","56190",1920,42,0,42,"23738428"
"17906",1,"16335","75852",1920,60,0,60,"20441978"
"17920",1,"2498","9355",1910,10,0,10,"90000"
"18019",1,"1667","2544",1899,2,0,2,"911460"
"18033",1,"4992","24870",1910,18,2,20,"6550000"
"18036",1,"7625","26730",1924,30,0,30,"7500000"
"18038",1,"14231","66240",1911,68,3,71,"20800000"
"18308",2,"3525","1764",1899,1,0,1,"420000"
"18310",2,"2329","1431",1901,1,0,1,"273796"
"18311",2,"2329","1431",1901,1,0,1,"231244"
"18317",2,"2265","2394",1995,2,0,2,"530000"
"18318",2,"3314","2800",1899,2,1,3,"400000"
"18319",2,"1556","1494",1899,2,0,2,"305000"
"18324",2,"741","2133",2006,2,0,2,"540625"
"18325",2,"1429","1872",1910,2,0,2,"250000"
"18326",2,"3732","2901",2000,2,0,2,"494000"
"18327",2,"1258","2340",1901,2,0,2,"240000"
"18328",2,"1712","1580",1901,2,0,2,"200000"
"18335",2,"1784","2302",2004,3,0,3,"545000"
"18336",2,"3525","2160",1899,3,0,3,"299000"
"18353",2,"3372","18279",1919,20,6,26,"4461000"
"18354",2,"2417","5400",1931,7,0,7,"880000"
"18362",2,"1578","3154",1997,0,1,1,"375000"
"18363",2,"8288","16380",1931,0,1,1,"3000000"
"18375",2,"1785","1018",1945,1,0,1,"325000"
"18377",2,"2759","1998",1945,1,0,1,"400000"
"18380",2,"1918","1024",1945,1,0,1,"215982"
"18381",2,"2465","2112",1950,1,1,2,"599000"
"18382",2,"2465","2112",1950,1,1,2,"326000"
"18390",2,"2258","2430",1930,1,0,1,"325000"
"18391",2,"2258","2430",1930,1,0,1,"68571"
"18392",2,"2258","2430",1930,1,0,1,"80000"
"18397",2,"1728","1280",1955,1,0,1,"374000"
"18415",2,"1713","1505",1965,1,0,1,"370000"
"18424",2,"2798","1782",1950,1,0,1,"579000"
"18437",2,"1516","1384",1955,1,0,1,"348000"
"18440",2,"2565","1584",1955,1,0,1,"383250"
"18443",2,"2651","1260",1960,1,0,1,"437000"
"18444",2,"2651","1260",1960,1,0,1,"320000"
"18445",2,"1723","1116",1955,1,0,1,"360000"
"18446",2,"1692","1674",1955,1,0,1,"393000"
"18447",2,"1692","1674",1955,1,0,1,"405000"
"18448",2,"1692","1674",1955,1,0,1,"245000"
"18450",2,"3555","1324",1925,1,0,1,"330000"
"18451",2,"3555","1380",1935,1,0,1,"420000"
"18453",2,"3788","870",1910,1,0,1,"784000"
"18466",2,"2642","1690",1950,1,0,1,"420000"
"18468",2,"4297","1200",1920,1,0,1,"460000"
"18474",2,"1563","1714",1961,1,0,1,"405000"
"18475",2,"2175","640",1932,1,0,1,"280000"
"18476",2,"6289","1072",1925,1,0,1,"355000"
"18486",2,"2375","1479",1931,1,0,1,"485000"
"18494",2,"3333","1512",1939,1,0,1,"243360"
"18495",2,"8873","1170",1951,1,0,1,"420000"
"18496",2,"3563","2080",1920,1,0,1,"416000"
"18499",2,"2375","1341",1930,1,0,1,"400000"
"18505",2,"2375","1224",1930,1,0,1,"499900"
"18513",2,"1718","1088",1960,1,0,1,"395200"
"18517",2,"2375","1260",1910,1,0,1,"230000"
"18523",2,"4755","1487",1959,1,0,1,"337400"
"18527",2,"2691","2842",2003,2,0,2,"334000"
"18532",2,"2375","1810",1920,2,0,2,"435000"
"18539",2,"932","2031",2007,2,0,2,"470000"
"18546",2,"6661","2600",1955,2,0,2,"500000"
"18552",2,"2658","1976",1930,2,0,2,"535000"
"18557",2,"2642","1722",1950,2,0,2,"529000"
"18558",2,"2642","1722",1950,2,0,2,"276000"
"18577",2,"2522","1568",1950,2,0,2,"371600"
"18579",2,"2424","2058",2007,2,0,2,"575000"
"18582",2,"2375","1520",1910,2,0,2,"466000"
"18583",2,"2375","1558",1920,2,0,2,"338000"
"18584",2,"1853","1596",1960,2,0,2,"377000"
"18585",2,"1895","1800",1950,2,0,2,"218500"
"18587",2,"2477","1584",1955,2,0,2,"599000"
"18590",2,"1895","2310",1960,2,0,2,"610000"
"18591",2,"1895","2310",1960,2,0,2,"349830"
"18592",2,"2518","2497",2004,2,0,2,"457000"
"18603",2,"2375","1867",2004,2,0,2,"480000"
"18615",2,"1868","2351",1960,2,0,2,"472500"
"18616",2,"2375","2040",2004,2,0,2,"605000"
"18617",2,"2516","3201",2006,2,0,2,"560000"
