"","BOROUGH","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","SALE.PRICE"
"76458",5,"1328","1088",1975,1,0,1,"304000"
"76462",5,"2635","1740",1970,1,0,1,"485000"
"76467",5,"1488","1088",1970,1,0,1,"380000"
"76477",5,"2974","1740",1974,1,0,1,"482000"
"76480",5,"2475","1376",1970,1,0,1,"420000"
"76486",5,"1761","1240",1987,1,0,1,"342500"
"76487",5,"1267","1240",1987,1,0,1,"343000"
"76488",5,"1267","1240",1987,1,0,1,"365000"
"76490",5,"2444","1680",1975,1,0,1,"380000"
"76491",5,"2558","1339",1984,1,0,1,"451500"
"76492",5,"1788","1339",1980,1,0,1,"390000"
"76505",5,"2976","1914",1980,1,0,1,"520000"
"76506",5,"2914","1914",1980,1,0,1,"535000"
"76508",5,"3272","1914",1980,1,0,1,"538000"
"76509",5,"3272","1914",1980,1,0,1,"464000"
"76519",5,"4325","980",1992,1,0,1,"437500"
"76524",5,"1392","1152",1987,1,0,1,"295000"
"76526",5,"1276","1232",1987,1,0,1,"360000"
"76535",5,"975","1008",1989,1,0,1,"365000"
"76536",5,"1624","1375",1990,1,0,1,"407500"
"76540",5,"2537","1260",1999,1,0,1,"341718"
"76543",5,"2229","1584",1988,1,0,1,"475000"
"76547",5,"1295","1400",1988,1,0,1,"380000"
"76549",5,"2242","1400",2004,2,0,2,"505000"
"76570",5,"2215","2248",1983,2,0,2,"465000"
"76571",5,"1981","2248",1983,2,0,2,"585000"
"76572",5,"1938","2248",1983,2,0,2,"499999"
"76582",5,"2325","2392",1980,2,0,2,"455000"
"76627",5,"2175","1934",2016,1,0,1,"590585"
"76630",5,"1827","1106",2010,1,0,1,"599800"
"76631",5,"1827","1106",2010,1,0,1,"570000"
"76632",5,"2828","2025",1993,1,0,1,"569900"
"76641",5,"2348","1690",2006,1,0,1,"254100"
"76650",5,"2692","1800",1935,2,0,2,"200000"
"76652",5,"3731","1772",1925,2,0,2,"497500"
"76660",5,"742","1200",1994,1,0,1,"239304"
"76666",5,"2336","920",2016,1,0,1,"378888"
"76677",5,"3338","2246",2004,2,0,2,"715000"
"76692",5,"2875","1835",1931,0,1,1,"638000"
"76703",5,"4545","2608",1970,1,0,1,"648000"
"76708",5,"1426","1272",2005,1,0,1,"470000"
"76711",5,"6138","1898",1970,1,0,1,"649000"
"76717",5,"1169","1246",1995,1,0,1,"300000"
"76723",5,"8175","1138",1950,1,0,1,"490000"
"76726",5,"1854","1296",1970,1,0,1,"399900"
"76731",5,"3382","1887",2014,1,0,1,"610950"
"76732",5,"1379","1645",2014,1,0,1,"529490"
"76733",5,"1379","1645",2014,1,0,1,"524398"
"76746",5,"3385","1484",2015,1,0,1,"560037"
"76747",5,"1539","1484",2015,1,0,1,"474552"
"76748",5,"1536","1484",2015,1,0,1,"468468"
"76750",5,"3347","1484",2015,1,0,1,"560038"
"76751",5,"3334","1484",2015,1,0,1,"560037"
"76752",5,"1515","1484",2015,1,0,1,"449000"
"76753",5,"1513","1484",2015,1,0,1,"517271"
"76756",5,"1389","1484",2015,1,0,1,"466440"
"76757",5,"1387","1484",2015,1,0,1,"477594"
"76758",5,"1386","1484",2015,1,0,1,"478945"
"76759",5,"1384","1484",2015,1,0,1,"485706"
"76760",5,"1813","1484",2015,1,0,1,"479000"
"76761",5,"1395","1884",2015,1,0,1,"507000"
"76762",5,"1395","1884",2015,1,0,1,"500916"
"76763",5,"2538","1304",1965,1,0,1,"483000"
"76766",5,"6432","1379",1950,1,0,1,"560000"
"76767",5,"3388","2288",2015,1,0,1,"778961"
"76769",5,"2277","1160",2004,1,0,1,"407000"
"76779",5,"3241","1344",1975,1,0,1,"410000"
"76780",5,"2576","1110",1975,1,0,1,"273780"
"76782",5,"2466","1326",1981,1,0,1,"536000"
"76790",5,"2728","1868",1960,1,0,1,"470000"
"76792",5,"2794","1868",1960,1,0,1,"340000"
"76799",5,"2417","1700",1970,1,0,1,"470000"
